"Time","N","ProducerProportion","MeanProducerProportion","GenomeLength","PopulationStructure","FitnessDistribution","MigrationRate","MutationRateSocial","MutationRateTolerance","MutationRateAdaptation","ProductionCost","MinCarryingCapacity","MaxCarryingCapacity","MixingFreq","EnvChangeFreq","Replicate"
1470,1,0.000950598817343236,0.000950598817343236,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1480,1,0.000878762702115422,0.000878762702115422,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1490,1,0.000139966687928273,0.000139966687928273,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1500,1,2.79983760941865e-05,2.79983760941865e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1510,1,2.39993280188155e-05,2.39993280188155e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1520,1,0.000193941817454764,0.000193941817454764,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1530,1,6.19925608926929e-05,6.19925608926929e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1540,1,0.000369777394008807,0.000369777394008807,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1550,1,3.79977961278246e-05,3.79977961278246e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1560,1,5.79947804697577e-05,5.79947804697577e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1570,1,0.000111983202519622,0.000111983202519622,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1580,1,1.39996080109757e-05,1.39996080109757e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1590,1,0.00010797754067154,0.00010797754067154,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1600,1,7.79907970859439e-05,7.79907970859439e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1610,1,1.4e-05,1.4e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1620,1,7.59931606155446e-05,7.59931606155446e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1630,1,5.39968681816455e-05,5.39968681816455e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1640,1,0.000139975084434971,0.000139975084434971,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1650,1,0.00014397005422872,0.00014397005422872,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1660,1,4.5997332154735e-05,4.5997332154735e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1670,1,7.79884577082592e-05,7.79884577082592e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1680,1,3.19991040250873e-05,3.19991040250873e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1690,1,0.00016395605977598,0.00016395605977598,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1700,1,0.0004037222390995,0.0004037222390995,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1710,1,0.000691279686566598,0.000691279686566598,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1720,1,0.000119978643801403,0.000119978643801403,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1730,1,0.000169959549627189,0.000169959549627189,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1740,1,4.79971201727896e-05,4.79971201727896e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1750,1,0.000115979123757724,0.000115979123757724,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1760,1,0.000109983502474629,0.000109983502474629,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1770,1,4.99970001799892e-05,4.99970001799892e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1780,1,1e-05,1e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1790,1,5.99965202018283e-05,5.99965202018283e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1800,1,0.000183945184335068,0.000183945184335068,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1810,1,0.000161951738381962,0.000161951738381962,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1820,1,1e-05,1e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1830,1,4.79972161614626e-05,4.79972161614626e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1840,1,5.79947804697577e-05,5.79947804697577e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1850,1,3.19990400287991e-05,3.19990400287991e-05,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1860,1,0.00010598431432148,0.00010598431432148,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1870,1,0.00013797130196919,0.00013797130196919,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1880,1,0.000257884983297449,0.000257884983297449,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1890,1,0.000185944588512623,0.000185944588512623,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1900,1,0.000233915790315486,0.000233915790315486,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
1910,1,0.00012397421336362,0.00012397421336362,0,"single","uniform",0.05,1e-05,1e-05,1e-05,0.1,800,2000,NA,NA,0
